antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
['udp'],"['0x0800', 'r2-dist', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['interface', '0x0800']","['udp', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
"['interface', 'udp']","['0x0800', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['0x0800'],"['interface', 'udp', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['udp'],"['interface', '0x0800', 'BROADCAST_STORM']",0.026,0.026,0.026,1.0,38.46153846153846,1.0,0.025324,inf,1.0,1.0,1.0,1.0
['ethertype'],"['udp', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
['looped'],"['udp', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
['mac'],"['udp', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
['bridge'],"['udp', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
['warning'],"['udp', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
"['ethertype', 'looped']","['udp', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
['ethertype'],"['udp', 'looped', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
['looped'],"['udp', 'ethertype', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
"['mac', 'ethertype']","['udp', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
['mac'],"['udp', 'ethertype', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
['ethertype'],"['mac', 'udp', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
"['ethertype', 'bridge']","['udp', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
['ethertype'],"['udp', 'bridge', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
['bridge'],"['udp', 'ethertype', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
"['warning', 'ethertype']","['udp', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
['ethertype'],"['udp', 'warning', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
['warning'],"['udp', 'ethertype', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
"['ethertype', 'r2-dist']","['udp', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
['ethertype'],"['udp', 'r2-dist', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
"['interface', 'ethertype']","['udp', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
['ethertype'],"['interface', 'udp', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
"['mac', 'looped']","['udp', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
['mac'],"['udp', 'looped', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
['looped'],"['mac', 'udp', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
"['bridge', 'looped']","['udp', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
['bridge'],"['udp', 'looped', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
['looped'],"['udp', 'bridge', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
"['warning', 'looped']","['udp', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
['warning'],"['udp', 'looped', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
['looped'],"['udp', 'warning', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
"['r2-dist', 'looped']","['udp', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
['looped'],"['udp', 'r2-dist', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
"['interface', 'looped']","['udp', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
['looped'],"['interface', 'udp', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
"['mac', 'bridge']","['udp', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
['mac'],"['udp', 'bridge', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
['bridge'],"['mac', 'udp', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
"['mac', 'warning']","['udp', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
['mac'],"['udp', 'warning', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
['warning'],"['mac', 'udp', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
"['mac', 'r2-dist']","['udp', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
['mac'],"['udp', 'r2-dist', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
"['interface', 'mac']","['udp', 'BROADCAST_STORM']",0.047,0.026,0.026,0.5531914893617021,21.276595744680854,1.0,0.024777999999999998,2.179904761904762,1.0,0.5531914893617021,0.5412643627943554,0.7765957446808511
